"Y","X1","X2","X3","X4","X5"
"1",3,0,0,1,1,5
"2",1,1,2,0,0,3
"3",1,1,2,0,0,1
"4",2,0,2,0,0,1
"5",4,1,2,0,0,1
"6",2,0,2,0,0,0
"7",2,0,2,3,0,2
"8",1,0,0.81249422,0,0,1
"9",2,0,2,6,0,4
"10",4,0,0,1,0,3
"11",3,0,2,5,0,7
"12",3,1,2,0,0,2
"13",2,1,2,0,0,10
"14",2,0,2,5,0,2
"15",4,1,3,4,0,2
"16",3,1,0,0,0,3
"17",4,0,2,5,0,5
"18",1,0,0,2,0,6
"19",3,0,2,2,0,2
"20",3,1,1,0,0,4
"21",4,0,2,3,0,3
"22",3,1,2,0,0,9
"23",1,0,1,2,0,10
"24",1,1,2,0.4209002,0,12
"25",3,1,0,4,0,6
"26",3,1,2,5,0,4
"27",3,0,2,6,0,4
"28",3,1,2,0,0,3
"29",3,0,2,5,0,2
"30",3,0,0,0,0,1
"31",3,0,1,2,0,9
"32",3,1,1,0,0,12
"33",3,0,0,0,0,10
"34",3,0,0,3,0,6
"35",2,1,2,0,0,3
"36",1,1,1,0,0,9
"37",1,1,1,4,0,3
"38",4,1,2,1,0,11
"39",1,1,2,0,0,12
"40",4,1,0,1,0,3
"41",3,0,0,1,0,9
"42",3,1,2,0,0,12
"43",3,0,2,4,0,4
"44",3,0,2,6,0,5
"45",4,1,2,4,0,6
"46",4,1,3,5,0,9
"47",3,1,1,0,0,8
"48",3,1,2,4,0,1
"49",1,1,0,0,0,7
"50",1,1,2,2,0,10
"51",3,1,2,5,0,4
"52",4,1,2,1,0,4
"53",1,1,2,5,0,6
"54",3,1,0,0,0,7
"55",4,1,2,1.63421,0,5
"56",3,1,1,2,0,5
"57",4,1,3,5,0,4
"58",3,1,2,4,0,4
"59",3,0,2,3,0,2
"60",4,1,2,2,0,5
"61",1,1,2,3,0,12
"62",2,0,2,2.2882364,0,0
"63",3,0,2,3,0,4
"64",1,1,0,2,0,2
"65",3,1,2,3,0,4
"66",4,0,2,5.5020905,0,10
"67",3,1,0,3,0,8
"68",1,1,0,0,0,10
"69",3,0,2,2,0,3
"70",4,0,2,2,0,2
"71",3,0,2,0,0,9
"72",4,0,0,2,0,5
"73",3,1,2,0,0,10
"74",4,0,3,6,0,10
"75",3,0,2,3,0,7
"76",4,1,3,5,0,8
"77",1,1,3,6,0,8
"78",1,1,2,0,0,12
"79",1,1,2,3,0,9
"80",1,1,2,0,0,4
"81",2,0,2,0,0,1
"82",3,0,2,0,0,12
"83",3,0,2,3,0,3
"84",3,1,2,0,0,11
"85",3,1,2,1,0,12
"86",1,1,0.4300904,2.9249418,0,5
"87",3,1,0,3,0,5
"88",1,1,2.1399884,3,0,5
"89",3,0,0,2,0,12
"90",1,1,3,6,0,9
"91",3,0,0,4,0,9
"92",3,0,0,1,0,3
"93",1,1,2,4,0,8
"94",3,0,0,3,0,8
"95",3,1,2,3,0,5
"96",1,1,2,3,0,2
"97",3,1,1,3,0,2
"98",3,1,0,3,0,5
"99",3,0,0,0,0,11
"100",1,1,2,4,0,5
"101",1,1,2,2,0,3
"102",3,1,2,1,0,10
"103",3,0,0,2,0,2
